rid,length_label,target_prompt_len,output_len,num_layers,decode_steps_total,min_decode_steps_per_layer,max_decode_steps_per_layer,mean_decode_steps_per_layer,layers_with_expected_decode_steps,unique_kv_slots_used_any_layer_union,kv_union_used_to_total_prompt_any_layer
ctx128k_req000,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,113722,0.86763000
ctx128k_req001,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,117649,0.89759064
ctx128k_req002,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,117189,0.89408112
ctx128k_req003,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,117585,0.89710236
ctx128k_req004,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,123812,0.94461060
ctx128k_req005,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,119337,0.91046906
ctx128k_req006,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,121107,0.92397308
ctx128k_req007,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,119999,0.91551971
ctx128k_req008,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,118807,0.90642548
ctx128k_req009,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,115596,0.88192749
ctx128k_req010,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,120602,0.92012024
ctx128k_req011,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,122658,0.93580627
ctx128k_req012,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,119134,0.90892029
ctx128k_req013,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,119809,0.91407013
ctx128k_req014,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,113870,0.86875916
ctx128k_req015,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,119699,0.91323090
