rid,length_label,target_prompt_len,output_len,layer_id,total_prompt_kv_slots,decode_steps,unique_kv_slots_used_decode_union,kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt,min_token_pos,max_token_pos
ctx032k_req000,32k,32768,1000,0,32768,1000,7815,0.23849487,0.06180469,32768,33767
ctx032k_req000,32k,32768,1000,1,32768,1000,12830,0.39154053,0.05445456,32768,33767
ctx032k_req000,32k,32768,1000,2,32768,1000,11717,0.35757446,0.05140915,32768,33767
ctx032k_req000,32k,32768,1000,3,32768,1000,6547,0.19979858,0.05672931,32768,33767
ctx032k_req000,32k,32768,1000,4,32768,1000,13491,0.41171265,0.05526788,32768,33767
ctx032k_req000,32k,32768,1000,5,32768,1000,8015,0.24459839,0.05109201,32768,33767
ctx032k_req000,32k,32768,1000,6,32768,1000,19258,0.58770752,0.04991489,32768,33767
ctx032k_req000,32k,32768,1000,7,32768,1000,16439,0.50167847,0.04869751,32768,33767
ctx032k_req000,32k,32768,1000,8,32768,1000,14110,0.43060303,0.04831400,32768,33767
ctx032k_req000,32k,32768,1000,9,32768,1000,9403,0.28695679,0.04877878,32768,33767
ctx032k_req000,32k,32768,1000,10,32768,1000,14329,0.43728638,0.04913187,32768,33767
ctx032k_req000,32k,32768,1000,11,32768,1000,18368,0.56054688,0.04978940,32768,33767
ctx032k_req000,32k,32768,1000,12,32768,1000,19551,0.59664917,0.05037048,32768,33767
ctx032k_req000,32k,32768,1000,13,32768,1000,12045,0.36758423,0.04952917,32768,33767
ctx032k_req000,32k,32768,1000,14,32768,1000,9966,0.30413818,0.04936902,32768,33767
ctx032k_req000,32k,32768,1000,15,32768,1000,11932,0.36413574,0.04926514,32768,33767
ctx032k_req000,32k,32768,1000,16,32768,1000,12480,0.38085938,0.04865048,32768,33767
ctx032k_req000,32k,32768,1000,17,32768,1000,25197,0.76895142,0.04940793,32768,33767
ctx032k_req000,32k,32768,1000,18,32768,1000,10464,0.31933594,0.04904150,32768,33767
ctx032k_req000,32k,32768,1000,19,32768,1000,13497,0.41189575,0.04834924,32768,33767
ctx032k_req000,32k,32768,1000,20,32768,1000,16767,0.51168823,0.04914200,32768,33767
ctx032k_req000,32k,32768,1000,21,32768,1000,14068,0.42932129,0.04867169,32768,33767
ctx032k_req000,32k,32768,1000,22,32768,1000,10413,0.31777954,0.04844302,32768,33767
ctx032k_req000,32k,32768,1000,23,32768,1000,11995,0.36605835,0.04795020,32768,33767
ctx032k_req000,32k,32768,1000,24,32768,1000,15898,0.48516846,0.04873895,32768,33767
ctx032k_req000,32k,32768,1000,25,32768,1000,9965,0.30410767,0.04826654,32768,33767
ctx032k_req000,32k,32768,1000,26,32768,1000,15762,0.48101807,0.04852924,32768,33767
ctx032k_req000,32k,32768,1000,27,32768,1000,16636,0.50769043,0.04937872,32768,33767
ctx032k_req000,32k,32768,1000,28,32768,1000,14258,0.43511963,0.04856808,32768,33767
ctx032k_req000,32k,32768,1000,29,32768,1000,19062,0.58172607,0.04877036,32768,33767
ctx032k_req000,32k,32768,1000,30,32768,1000,15243,0.46517944,0.04850610,32768,33767
ctx032k_req000,32k,32768,1000,31,32768,1000,15449,0.47146606,0.04858875,32768,33767
ctx032k_req000,32k,32768,1000,32,32768,1000,13306,0.40606689,0.04861133,32768,33767
ctx032k_req000,32k,32768,1000,33,32768,1000,16568,0.50561523,0.04865323,32768,33767
ctx032k_req000,32k,32768,1000,34,32768,1000,10006,0.30535889,0.04868222,32768,33767
ctx032k_req000,32k,32768,1000,35,32768,1000,12933,0.39468384,0.04849142,32768,33767
ctx032k_req000,32k,32768,1000,36,32768,1000,13857,0.42288208,0.04904730,32768,33767
ctx032k_req000,32k,32768,1000,37,32768,1000,10938,0.33380127,0.04829297,32768,33767
