length_label,target_prompt_len,layer_id,num_requests,mean_unique_kv_slots_used_decode_union,mean_kv_union_used_to_total_prompt,std_kv_union_used_to_total_prompt,p50_kv_union_used_to_total_prompt,p90_kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt
32k,32768,43,16,21951.31250000,0.66990089,0.05134121,0.67695618,0.70547485,0.05399660
32k,32768,44,16,15667.31250000,0.47812843,0.00903730,0.47521972,0.48785400,0.05086624
32k,32768,45,16,20880.43750000,0.63722038,0.03851957,0.63761902,0.68334961,0.05233756
32k,32768,46,16,21391.25000000,0.65280914,0.04807261,0.65419006,0.69549561,0.05380817
32k,32768,47,16,12567.18750000,0.38352013,0.03235330,0.38534546,0.41442871,0.05182968
32k,32768,48,16,15931.00000000,0.48617554,0.03830965,0.48176575,0.53753662,0.05290663
32k,32768,49,16,21157.68750000,0.64568138,0.04551417,0.64898681,0.69470215,0.05166954
32k,32768,50,16,17114.25000000,0.52228546,0.04591566,0.53088379,0.55972290,0.05279825
32k,32768,51,16,17769.18750000,0.54227257,0.05123082,0.54980469,0.57818604,0.05231734
32k,32768,52,16,22060.18750000,0.67322350,0.03349389,0.68261719,0.71023560,0.05195091
32k,32768,53,16,19177.87500000,0.58526230,0.03569517,0.58943177,0.61483765,0.05122277
32k,32768,54,16,13899.68750000,0.42418480,0.03538284,0.42831421,0.44750977,0.05144329
32k,32768,55,16,22347.12500000,0.68198013,0.06287606,0.69223022,0.71154785,0.05216197
32k,32768,56,16,16953.25000000,0.51737213,0.03909868,0.51771546,0.55099487,0.05088508
32k,32768,57,16,17064.25000000,0.52075958,0.04621437,0.53079224,0.55868530,0.05223732
32k,32768,58,16,14104.25000000,0.43042755,0.02248016,0.43589783,0.44613647,0.05106588
32k,32768,59,16,18676.00000000,0.56994629,0.03473581,0.57083129,0.60543823,0.05212666
32k,32768,60,16,15248.18750000,0.46533775,0.02994092,0.46725463,0.48822021,0.04989102
64k,65536,0,16,11431.12500000,0.17442512,0.00421976,0.17448426,0.17851257,0.03105797
64k,65536,1,16,3693.43750000,0.05635739,0.00795936,0.05564118,0.06796265,0.03012865
64k,65536,2,16,13165.25000000,0.20088577,0.00676897,0.20201874,0.20693970,0.02504676
64k,65536,3,16,7608.12500000,0.11609077,0.00204055,0.11610413,0.11828613,0.02781689
64k,65536,4,16,23147.62500000,0.35320473,0.02355248,0.35182953,0.37147522,0.02821687
64k,65536,5,16,7314.75000000,0.11161423,0.00562701,0.10887146,0.11833191,0.02578218
64k,65536,6,16,19681.93750000,0.30032253,0.00926437,0.30097198,0.30691528,0.02517674
64k,65536,7,16,15998.06250000,0.24411106,0.01085456,0.24403381,0.25616455,0.02499146
64k,65536,8,16,14813.75000000,0.22603989,0.00399263,0.22635650,0.23085022,0.02449403
64k,65536,9,16,14466.75000000,0.22074509,0.01801094,0.22223663,0.23486328,0.02584744
64k,65536,10,16,15371.18750000,0.23454571,0.00664113,0.23554230,0.24102783,0.02598889
64k,65536,11,16,29076.12500000,0.44366646,0.03090131,0.45158386,0.45968628,0.02622320
64k,65536,12,16,20080.31250000,0.30640125,0.00457157,0.30607605,0.30943298,0.02576089
64k,65536,13,16,13663.06250000,0.20848179,0.00749948,0.21016693,0.21437073,0.02540588
64k,65536,14,16,11204.12500000,0.17096138,0.00740473,0.17237854,0.17787170,0.02647279
64k,65536,15,16,18326.25000000,0.27963638,0.01637047,0.28459930,0.29002380,0.02662524
64k,65536,16,16,18423.75000000,0.28112412,0.02283602,0.28428650,0.30384827,0.02579564
64k,65536,17,16,52218.31250000,0.79678821,0.01916091,0.79499817,0.81773376,0.02724250
64k,65536,18,16,12795.18750000,0.19523907,0.01023542,0.19407653,0.20652771,0.02550799
64k,65536,19,16,22336.43750000,0.34082699,0.02874563,0.34608459,0.36621094,0.02605324
64k,65536,20,16,30055.06250000,0.45860386,0.04196647,0.45043945,0.48779297,0.02666155
64k,65536,21,16,26062.75000000,0.39768600,0.04062792,0.39052581,0.42463684,0.02690870
64k,65536,22,16,12400.00000000,0.18920899,0.01470898,0.18606567,0.19566345,0.02600383
64k,65536,23,16,17176.62500000,0.26209450,0.02569367,0.26049805,0.27427673,0.02610652
64k,65536,24,16,28396.37500000,0.43329430,0.03517459,0.43350220,0.45268250,0.02720761
64k,65536,25,16,15365.87500000,0.23446464,0.02230401,0.22987366,0.25028992,0.02623276
64k,65536,26,16,29955.31250000,0.45708179,0.04504467,0.45821381,0.48748779,0.02700620
64k,65536,27,16,27182.87500000,0.41477776,0.04386010,0.41625214,0.44132996,0.02740477
64k,65536,28,16,27679.56250000,0.42235660,0.03911095,0.41958618,0.45188904,0.02675239
64k,65536,29,16,33420.43750000,0.50995541,0.04416392,0.50434875,0.55137634,0.02703097
64k,65536,30,16,24503.87500000,0.37389946,0.04241150,0.37248230,0.41241455,0.02674675
64k,65536,31,16,24392.37500000,0.37219810,0.04390020,0.36690522,0.41740417,0.02692333
64k,65536,32,16,22035.00000000,0.33622742,0.04593891,0.33065795,0.38487244,0.02677515
64k,65536,33,16,30012.75000000,0.45795822,0.05008259,0.45396423,0.51260376,0.02692487
64k,65536,34,16,15869.37500000,0.24214745,0.03660986,0.22939301,0.28106689,0.02665043
64k,65536,35,16,23894.56250000,0.36460209,0.04759999,0.36069489,0.41543579,0.02688298
64k,65536,36,16,21467.25000000,0.32756424,0.03600117,0.32322692,0.36323547,0.02641122
64k,65536,37,16,17123.62500000,0.26128578,0.02145909,0.25865173,0.28085327,0.02628589
64k,65536,38,16,32944.56250000,0.50269413,0.04659941,0.50822448,0.53997803,0.02697275
64k,65536,39,16,35106.37500000,0.53568077,0.04710275,0.53427887,0.60047913,0.02664466
64k,65536,40,16,24556.50000000,0.37470245,0.03473140,0.37088775,0.40814209,0.02690694
64k,65536,41,16,21101.68750000,0.32198620,0.03320856,0.31981659,0.35797119,0.02652456
64k,65536,42,16,19066.75000000,0.29093551,0.02817026,0.28691101,0.32447815,0.02635786
64k,65536,43,16,34547.25000000,0.52714920,0.04841969,0.51992797,0.58303833,0.02733635
64k,65536,44,16,16010.43750000,0.24429989,0.00960930,0.24415588,0.25183105,0.02563201
64k,65536,45,16,26877.43750000,0.41011715,0.03779958,0.40936280,0.44894409,0.02641385
64k,65536,46,16,33660.75000000,0.51362228,0.04218208,0.51562500,0.56707764,0.02712173
64k,65536,47,16,15746.12500000,0.24026680,0.02609022,0.24192810,0.25927734,0.02617836
64k,65536,48,16,19772.62500000,0.30170631,0.03356790,0.30151367,0.33239746,0.02664720
64k,65536,49,16,27000.31250000,0.41199207,0.04218813,0.40595245,0.44984436,0.02612334
64k,65536,50,16,23447.93750000,0.35778713,0.03721231,0.35846711,0.39085388,0.02668045
64k,65536,51,16,22791.31250000,0.34776783,0.03219573,0.33701324,0.38409424,0.02654572
64k,65536,52,16,23903.18750000,0.36473370,0.02019083,0.36561584,0.38687134,0.02620094
64k,65536,53,16,20747.81250000,0.31658649,0.01688819,0.31336975,0.32832336,0.02591789
64k,65536,54,16,15660.25000000,0.23895645,0.02205012,0.23740387,0.25430298,0.02591296
64k,65536,55,16,32669.31250000,0.49849415,0.03964467,0.49460602,0.54066467,0.02638504
64k,65536,56,16,19811.25000000,0.30229568,0.02661616,0.30054474,0.32582092,0.02564751
64k,65536,57,16,22003.37500000,0.33574486,0.02995129,0.33143616,0.36380005,0.02645176
64k,65536,58,16,15249.75000000,0.23269272,0.01908997,0.23239135,0.24319458,0.02586296
64k,65536,59,16,22626.43750000,0.34525204,0.03305072,0.34339142,0.37605286,0.02630882
64k,65536,60,16,17210.62500000,0.26261330,0.02087907,0.25742340,0.28121948,0.02519922
128k,131072,0,16,13191.81250000,0.10064554,0.00243864,0.10041810,0.10317230,0.01553178
128k,131072,1,16,4941.62500000,0.03770161,0.00157832,0.03810882,0.03890228,0.01519392
128k,131072,2,16,14615.31250000,0.11150599,0.00325695,0.11271668,0.11434937,0.01244404
128k,131072,3,16,9998.68750000,0.07628393,0.00243650,0.07697677,0.07844543,0.01403978
128k,131072,4,16,27226.68750000,0.20772314,0.01202952,0.20897293,0.21862793,0.01441036
128k,131072,5,16,7215.31250000,0.05504847,0.00332303,0.05461883,0.05743408,0.01278064
128k,131072,6,16,24669.93750000,0.18821669,0.00906947,0.18668747,0.19740295,0.01252390
128k,131072,7,16,17270.43750000,0.13176298,0.00763065,0.12977600,0.13938141,0.01238265
128k,131072,8,16,14887.93750000,0.11358595,0.00255614,0.11415863,0.11639404,0.01217173
128k,131072,9,16,15415.62500000,0.11761188,0.00907081,0.11853408,0.12402344,0.01275628
128k,131072,10,16,16146.25000000,0.12318611,0.00321719,0.12377548,0.12642670,0.01290890
128k,131072,11,16,39286.12500000,0.29972935,0.03456238,0.30625916,0.33531189,0.01300782
128k,131072,12,16,19856.43750000,0.15149260,0.00238259,0.15187836,0.15356445,0.01280405
128k,131072,13,16,13795.06250000,0.10524797,0.00356570,0.10413742,0.11055756,0.01258773
128k,131072,14,16,11223.93750000,0.08563185,0.00363562,0.08520508,0.08979797,0.01308534
128k,131072,15,16,22426.56250000,0.17110109,0.01700348,0.17293167,0.19041443,0.01317864
128k,131072,16,16,20772.00000000,0.15847778,0.01745526,0.15818024,0.18107605,0.01282024
128k,131072,17,16,92215.62500000,0.70354938,0.02987515,0.70417785,0.73342133,0.01368758
128k,131072,18,16,12928.37500000,0.09863567,0.00686062,0.09768677,0.10642242,0.01274333
128k,131072,19,16,32134.18750000,0.24516439,0.03043141,0.24620438,0.27650452,0.01295968
128k,131072,20,16,43555.18750000,0.33229971,0.05122978,0.31877517,0.41148376,0.01327542
128k,131072,21,16,39736.37500000,0.30316448,0.04004213,0.29801941,0.35504150,0.01340843
128k,131072,22,16,15013.56250000,0.11454439,0.01034826,0.11475754,0.12397003,0.01294539
128k,131072,23,16,18599.50000000,0.14190292,0.01831883,0.13653946,0.16697693,0.01298613
128k,131072,24,16,33685.12500000,0.25699711,0.02795828,0.25507355,0.28851318,0.01355744
128k,131072,25,16,15959.56250000,0.12176180,0.01310055,0.11579132,0.13630676,0.01303737
128k,131072,26,16,41620.06250000,0.31753588,0.04225737,0.31614685,0.35774994,0.01341570
128k,131072,27,16,34364.56250000,0.26218081,0.03480542,0.25988769,0.29495239,0.01361441
128k,131072,28,16,36436.56250000,0.27798891,0.03458379,0.27309417,0.31765747,0.01327088
128k,131072,29,16,46230.06250000,0.35270738,0.04304525,0.34838486,0.39293671,0.01344624
128k,131072,30,16,33445.81250000,0.25517130,0.03786617,0.25692749,0.30140686,0.01337090
128k,131072,31,16,32269.50000000,0.24619675,0.03821022,0.24506378,0.28628540,0.01349715
128k,131072,32,16,28419.87500000,0.21682644,0.03924082,0.21527863,0.26303864,0.01341857
128k,131072,33,16,45315.37500000,0.34572887,0.04309997,0.33955384,0.38723755,0.01356637
128k,131072,34,16,19282.00000000,0.14710999,0.02000737,0.14274215,0.16954041,0.01341353
128k,131072,35,16,34716.06250000,0.26486254,0.03662017,0.26091767,0.30200195,0.01363289
128k,131072,36,16,27010.06250000,0.20607042,0.03105234,0.21102143,0.23492432,0.01318891
128k,131072,37,16,20855.37500000,0.15911388,0.01143352,0.16420364,0.16958618,0.01312652
128k,131072,38,16,51365.43750000,0.39188719,0.03648548,0.40101242,0.42816162,0.01350612
128k,131072,39,16,56025.12500000,0.42743778,0.03637425,0.43856812,0.45835114,0.01331095
128k,131072,40,16,29823.56250000,0.22753573,0.02171408,0.22384644,0.25786591,0.01344155
128k,131072,41,16,25289.50000000,0.19294357,0.01820096,0.19123459,0.20893860,0.01322986
128k,131072,42,16,27123.31250000,0.20693445,0.01968689,0.20611572,0.23412323,0.01328802
128k,131072,43,16,53143.62500000,0.40545368,0.03393166,0.40779877,0.44419861,0.01367036
128k,131072,44,16,16845.75000000,0.12852287,0.00635666,0.12968445,0.13362122,0.01268008
128k,131072,45,16,39199.18750000,0.29906607,0.03080415,0.30481720,0.32530212,0.01320173
128k,131072,46,16,54676.50000000,0.41714859,0.03216750,0.42076874,0.45679474,0.01365840
128k,131072,47,16,20443.18750000,0.15596914,0.01493331,0.15858840,0.17194366,0.01306571
128k,131072,48,16,29239.12500000,0.22307682,0.02152994,0.22156525,0.25452423,0.01336433
128k,131072,49,16,35008.93750000,0.26709700,0.03373309,0.26776886,0.31086731,0.01295145
128k,131072,50,16,33700.37500000,0.25711346,0.02892905,0.25843429,0.28965759,0.01344662
128k,131072,51,16,30921.93750000,0.23591566,0.02713799,0.24098587,0.26934052,0.01324045
128k,131072,52,16,27430.18750000,0.20927572,0.01296109,0.20682144,0.22657776,0.01296656
128k,131072,53,16,22866.87500000,0.17446041,0.01316805,0.17421340,0.18513489,0.01289818
128k,131072,54,16,19799.50000000,0.15105820,0.01843138,0.14856338,0.17530060,0.01283194
128k,131072,55,16,51397.18750000,0.39212942,0.04850929,0.39332581,0.44629669,0.01312897
128k,131072,56,16,24317.68750000,0.18552923,0.02041876,0.18753052,0.21154022,0.01270352
128k,131072,57,16,30401.31250000,0.23194361,0.02556711,0.23311996,0.26355743,0.01314196
128k,131072,58,16,16152.50000000,0.12323379,0.00889065,0.12354278,0.13313293,0.01292924
128k,131072,59,16,26245.50000000,0.20023727,0.02538058,0.20243454,0.22613525,0.01300671
128k,131072,60,16,18833.62500000,0.14368915,0.01455109,0.14551544,0.15883636,0.01248327
