rid,length_label,target_prompt_len,output_len,layer_id,total_prompt_kv_slots,decode_steps,unique_kv_slots_used_decode_union,kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt,min_token_pos,max_token_pos
ctx064k_req000,64k,65536,1000,0,65536,1000,11297,0.17237854,0.03102106,65536,66535
ctx064k_req000,64k,65536,1000,1,65536,1000,4454,0.06796265,0.02962688,65536,66535
ctx064k_req000,64k,65536,1000,2,65536,1000,13228,0.20184326,0.02484601,65536,66535
ctx064k_req000,64k,65536,1000,3,65536,1000,7390,0.11276245,0.02760289,65536,66535
ctx064k_req000,64k,65536,1000,4,65536,1000,24202,0.36929321,0.02829391,65536,66535
ctx064k_req000,64k,65536,1000,5,65536,1000,7755,0.11833191,0.02635689,65536,66535
ctx064k_req000,64k,65536,1000,6,65536,1000,20114,0.30691528,0.02561536,65536,66535
ctx064k_req000,64k,65536,1000,7,65536,1000,16187,0.24699402,0.02565933,65536,66535
ctx064k_req000,64k,65536,1000,8,65536,1000,15129,0.23085022,0.02466045,65536,66535
ctx064k_req000,64k,65536,1000,9,65536,1000,14832,0.22631836,0.02666815,65536,66535
ctx064k_req000,64k,65536,1000,10,65536,1000,15429,0.23542786,0.02661250,65536,66535
ctx064k_req000,64k,65536,1000,11,65536,1000,29842,0.45535278,0.02694884,65536,66535
ctx064k_req000,64k,65536,1000,12,65536,1000,20225,0.30860901,0.02612151,65536,66535
ctx064k_req000,64k,65536,1000,13,65536,1000,14361,0.21913147,0.02582681,65536,66535
ctx064k_req000,64k,65536,1000,14,65536,1000,11573,0.17658997,0.02704401,65536,66535
ctx064k_req000,64k,65536,1000,15,65536,1000,18940,0.28900146,0.02740059,65536,66535
ctx064k_req000,64k,65536,1000,16,65536,1000,19316,0.29473877,0.02648329,65536,66535
ctx064k_req000,64k,65536,1000,17,65536,1000,51045,0.77888489,0.02776479,65536,66535
ctx064k_req000,64k,65536,1000,18,65536,1000,13793,0.21046448,0.02604410,65536,66535
ctx064k_req000,64k,65536,1000,19,65536,1000,21903,0.33421326,0.02691615,65536,66535
ctx064k_req000,64k,65536,1000,20,65536,1000,29383,0.44834900,0.02741222,65536,66535
ctx064k_req000,64k,65536,1000,21,65536,1000,24427,0.37272644,0.02761070,65536,66535
ctx064k_req000,64k,65536,1000,22,65536,1000,12191,0.18601990,0.02675027,65536,66535
ctx064k_req000,64k,65536,1000,23,65536,1000,16415,0.25047302,0.02705780,65536,66535
ctx064k_req000,64k,65536,1000,24,65536,1000,28311,0.43199158,0.02794179,65536,66535
ctx064k_req000,64k,65536,1000,25,65536,1000,15660,0.23895264,0.02696944,65536,66535
ctx064k_req000,64k,65536,1000,26,65536,1000,28958,0.44186401,0.02775069,65536,66535
ctx064k_req000,64k,65536,1000,27,65536,1000,26396,0.40277100,0.02820552,65536,66535
ctx064k_req000,64k,65536,1000,28,65536,1000,26547,0.40507507,0.02745741,65536,66535
ctx064k_req000,64k,65536,1000,29,65536,1000,32768,0.50000000,0.02770822,65536,66535
ctx064k_req000,64k,65536,1000,30,65536,1000,24214,0.36947632,0.02746024,65536,66535
ctx064k_req000,64k,65536,1000,31,65536,1000,24099,0.36772156,0.02765616,65536,66535
ctx064k_req000,64k,65536,1000,32,65536,1000,21575,0.32920837,0.02748047,65536,66535
ctx064k_req000,64k,65536,1000,33,65536,1000,29566,0.45114136,0.02757030,65536,66535
ctx064k_req000,64k,65536,1000,34,65536,1000,14877,0.22700500,0.02731073,65536,66535
ctx064k_req000,64k,65536,1000,35,65536,1000,23538,0.35916138,0.02765733,65536,66535
ctx064k_req000,64k,65536,1000,36,65536,1000,21902,0.33419800,0.02682364,65536,66535
ctx064k_req000,64k,65536,1000,37,65536,1000,16915,0.25810242,0.02695921,65536,66535
ctx064k_req000,64k,65536,1000,38,65536,1000,30637,0.46748352,0.02749327,65536,66535
ctx064k_req000,64k,65536,1000,39,65536,1000,34451,0.52568054,0.02734880,65536,66535
ctx064k_req000,64k,65536,1000,40,65536,1000,25088,0.38281250,0.02751117,65536,66535
ctx064k_req000,64k,65536,1000,41,65536,1000,21036,0.32098389,0.02722836,65536,66535
ctx064k_req000,64k,65536,1000,42,65536,1000,18837,0.28742981,0.02694751,65536,66535
ctx064k_req000,64k,65536,1000,43,65536,1000,35207,0.53721619,0.02805438,65536,66535
ctx064k_req000,64k,65536,1000,44,65536,1000,16504,0.25183105,0.02613297,65536,66535
ctx064k_req000,64k,65536,1000,45,65536,1000,27271,0.41612244,0.02689360,65536,66535
ctx064k_req000,64k,65536,1000,46,65536,1000,35537,0.54225159,0.02792195,65536,66535
ctx064k_req000,64k,65536,1000,47,65536,1000,15645,0.23872375,0.02693816,65536,66535
ctx064k_req000,64k,65536,1000,48,65536,1000,20458,0.31216431,0.02740895,65536,66535
